*
* Avast Scan Report
* This file is generated automatically
*
* Scan name: Targeted Scan
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_powershell_reverse_tcp_ssl.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_shell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_shell_bind_hidden_ipknock_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_shell_hidden_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_meterpreter_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_meterpreter_reverse_https.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY3\windows_encrypted_shell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_shell_reverse_tcp_rc4.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_pingback_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_pingback_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_exec.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_powershell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_powershell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_meterpreter_reverse_http.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_meterpreter_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_powershell_reverse_tcp_ssl.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_shell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_shell_bind_hidden_ipknock_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_shell_hidden_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_meterpreter_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_meterpreter_reverse_https.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo2_v2\KEY1\windows_encrypted_shell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_shell_reverse_tcp_rc4.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_pingback_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_pingback_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_exec.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_powershell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_powershell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_meterpreter_reverse_http.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_meterpreter_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_powershell_reverse_tcp_ssl.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_shell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_shell_bind_hidden_ipknock_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_shell_hidden_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_meterpreter_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_meterpreter_reverse_https.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY2\windows_encrypted_shell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_shell_reverse_tcp_rc4.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_pingback_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_pingback_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_exec.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_powershell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_powershell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_meterpreter_reverse_http.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_meterpreter_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_powershell_reverse_tcp_ssl.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_shell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_shell_bind_hidden_ipknock_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_shell_hidden_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_meterpreter_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_meterpreter_reverse_https.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY3\windows_encrypted_shell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_shell_reverse_tcp_rc4.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_pingback_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_pingback_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_exec.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_powershell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_powershell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_meterpreter_reverse_http.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_meterpreter_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_powershell_reverse_tcp_ssl.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_shell_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_shell_bind_hidden_ipknock_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_shell_hidden_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_meterpreter_bind_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_meterpreter_reverse_https.exe [L] Win32:MalwareX-gen [Hack] (0)
\\VBoxSvr\machine_malware\algo1_v2\KEY1\windows_encrypted_shell_reverse_tcp.exe [L] Win32:MalwareX-gen [Hack] (0)
Infected files: 270
Total files: 270
Total folders: 25
Total size: 17.6 MB

*
* Scan stopped: Saturday, May 30, 2026 12:46:01 PM
* Run-time was 22 second(s)
*

